Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
05/24/1938,22:17,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10.0,10.0,0.0
07/29/1938,04:11,PacifiOcean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15.0,15.0,0.0
11/29/1938,05:30,"Off Point Reyes, California",United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7.0,7.0,0.0
01/13/1939,21:15,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4.0,4.0,0.0
03/26/1939,14:48,"Oklahoma City, Oklahoma",Braniff Airlines,1,Chicago - Dallas,Douglas DC-2-112,NC13727,1253,12.0,8.0,0.0
