Date,Time,Location,Route,Type,Aboard
08/22/1981,10:00,Near Sanyi Miaoli Taiwan,Taipei - Kaohsiung,Boeing B-737-222,110.0
10/06/1981,17:12,Moerdijk Netherlands,Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,17.0
12/01/1981,08:53,Mt San Pietro near Ajaccio Corsica France,Ljubljana - Ajaccio,McDonnell Douglas MD-81,180.0
01/13/1982,16:01,Washington DC,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,79.0
01/23/1982,19:36,Logan Airport  Boston Massachusett,"Newark, NJ - Boston, MA",McDonnell Douglas DC-10-30CF,212.0
