Date,Time,Location,Route,Type,Aboard
11/19/1969,20:20,Mt Pilot Knob Glen Falls New York,Albany - Glenn Falls,Fairchild-Hiller FH-227B,14.0
11/20/1969,08:30,Near Ikeja Nigeria,Kano - Lagos,BAC VC-10-1101,87.0
01/13/1970,06:00,Faleolo Western Samoa,"Apia, Western Samoa - Pago Pago, American Samoa",Douglas DC-3,32.0
02/10/1970,18:37,Long Island Sound Connecticut,"Groton, CT - New York, NY",de Havilland Canada DHC-6 Twin Otter 100,5.0
02/21/1970,13:34,Zurich Switzerland,Zurich - Tel Aviv,Convair CV-990-30A-6,47.0
