Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
04/15/1948,02:35,"Shannon, Ireland",Pan American World Airways,1-10,Belgium - Shannon,Lockheed L-049-46 Constellation,NC-88858,2058,31.0,30.0,0.0
06/17/1948,12:41,"Mount Carmel, Pennsylvania",United Air Lines,624,Chicago - New York City,Douglas DC-6,NC37506,42871/12,43.0,43.0,0.0
08/29/1948,17:05,"Near Winona, Minnesota",Northwest Orient Airlines,421,Chicago - Minneapolis,Martin 202,NC93044,9165,37.0,37.0,0.0
10/27/1948,16:50,"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,6427,"Edmonton - Anchorage, AK",Douglas C-54A,NC88785,10406,5.0,2.0,0.0
01/20/1949,20:05,"Homer, Alaska",Alaska Airlines,8,Homer - Anchorage,Douglas DC-3C,N91006,20208,6.0,5.0,0.0
