Date,Time,Location,Route,Type,Aboard
01/06/1969,20:35,Near Bradford Pennsylvania,Washington - Harrisburgh - Bradford - Erie - Detroit,Convair CV-580,28.0
01/13/1969,19:21,Off Los Angeles California,Copenhagen - Los Angeles - Seattle,McDonnell Douglas DC-8-62,45.0
01/18/1969,18:21,Off Los Angeles California,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,38.0
02/18/1969,05:10,Near Lone Pine California,"Hawthorne, NV - Burbank - Long Beach",Douglas DC-3,35.0
03/16/1969,12:00,Maracaibo Zulia Venezuela,Maracaibo - Miami,McDonnell Douglas DC-9-32,84.0
