Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
02/10/1944,23:36,"Memphis, Tennessee",American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24.0,24.0,0.0
08/08/1944,13:20,"Off Antilla, Cuba",Pan American World Airways,218,Antilla - Miami,Sikorsky S-42 (flying boat),NC823M,4201,31.0,17.0,0.0
11/04/1944,17:15,"Hanford, California",Trans Continental and Western Air,8,San Francisco - New York City,Douglas DC-3,NC28310,2251,24.0,24.0,0.0
12/01/1944,00:54,"Van Nuys, California",Trans Continental and Western Air,13,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17.0,9.0,0.0
01/08/1945,21:16,"Port of Spain, Trinidad",Pan American World Airways,161,Miami - Leopoldville,Martin M-130 (flying boat),NC14716,558,30.0,23.0,0.0
