Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
03/07/1950,20:59,"Minneapolis, Minnesota",Northwest Orient Airlines,307,Rochester Minn. - Minneapolis,Martin 202,N93050,9134,13.0,13.0,2.0
06/23/1950,23:25,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,2501,New York City - Minneapolis-St. Paul,Douglas DC-4,N95425,10270,58.0,58.0,0.0
08/31/1950,00:03,"Near Wadi Natrun, Egypt",Trans World Airlines,903,Cairo - Rome,Lockheed 749A Constellation,N6004C,2636,55.0,55.0,0.0
09/04/1950,14:10,"Utica, New York",Robinson Airlines,32,"Utica, NY - Newark, NJ",Douglas DC-3,N18936,2011,23.0,16.0,0.0
11/03/1950,09:43,"Mont Blanc, France",Air India,245,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,VT-CQP,2506,48.0,48.0,0.0
