Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
05/12/1942,11:51,"Miles City, Montana",Northwest Orient Airlines,1,Chicago - Seattle,Douglas DC-3-A-269,NC 21714,2129,14.0,3.0,0.0
10/03/1942,19:05,"Botwood, Newfoundland",American Export Airlines,71,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,4401,37.0,11.0,0.0
10/23/1942,17:15,"Palm Springs, California",American Airlines / Military - USAF,28,Palm Springs - New York City,Douglas DC-3 / Boeing B-34,NC16017,1555,13.0,12.0,0.0
12/15/1942,01:22,"Fairfield, Utah",Western Airlines,13,Salt Lake - Las Vegas - Burbank,Douglas DC-3A,NC16060,1900,19.0,17.0,0.0
01/21/1943,07:30,"Ukiah, California",Pan American World Airways,V-1104,Hawaii - San Francisco,Martin M-130 (flying boat),NC14715,557,19.0,19.0,0.0
