Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
11/14/1992,07:10,"Near Nha Trang, Vietnam",Vietnam Airlines,474,Ho Chi Minh City - Nha Trang,Yakovlev YAK-40,VN-A449,9631848,31,30,0
11/24/1992,07:52,"Near Liutang, Guangxi, China",China Southern Airlines,3943,Guangzhou - Guilin,Boeing B-737-3Y0,B-2523,24913,141,141,0
12/21/1992,07:53,"Faro, Algarve, Portugal",Martinair Holland NV,495,Amsterdam - Faro,McDonnell Douglas DC-10-30CF,PH-MBN,46924,340,56,0
12/22/1992,10:00,"Tripoli, Libya",Libya Arab Airlines / Military -  Libya Air Force,1103,Benghazi - Tripoli,Boeing B-727-2L5 / MiG23UB,5A-DIA,21050/1108,157,157,0
01/06/1993,19:20,"Paris, France",Lufthansa Cityline,5634,Bremen - Paris,de Havilland Canada DHC-8-301,D-BEAT,210,23,4,0
03/05/1993,11:12,"Skopje, Macedonia",Palair Macedonian,301,Skopje - Zürich,Fokker 100,PH-KXL,11393,97,83,0
04/06/1993,01:10,"950 nm S of  Shemya, Alaska",China Eastern Airlines,583,Shanghai - Los Angeles,McDonnell Douglas MD-11,B-2171,48495/461,264,2,0
04/19/1993,15:52,"Zwingle, Iowa",Private,-,"Cincinnati, OH - Pierre, SD",Mitsubishi MU-2B-60,N86SD,765SA,8,8,0
04/26/1993,13:00,"Aurangabad, India",Indian Airlines,491,Aurangabad - Bombay,Boeing B-737-2A8,VT-ECQ,20961/375,118,56,0
05/19/1993,15:04,"Near Medellin, Colombia",SAM Colombia,501,Panama City - Medellin,Boeing B-727-46,HK-2422X,18876/217,132,132,0
07/23/1993,15:40,"Yinchuan, China",China Northwest Airlines,2119,Yinchuan - Beijing,British Aerospace 146-300,B-2716,E-3215,113,55,0
07/26/1993,15:48,"Haenam, South Korea",Asiana Airlines,733,Seoul - Mokpo,Boeing B-737-5L9,HL-7229,24805/1878,110,68,0
08/18/1993,16:56,"Leeward Point Airfield, Guantanamo Bay, Cuba",American International Airways,808,"Norfolk, VA - Guantanamo, Cuba",McDonnell Douglas DC-8-61,N814CK,46127,3,0,0
09/14/1993,15:33,"Warsaw, Poland",Lufthansa,2904,Frankfurt - Warszawa,Airbus A320-211,D-AIPN,105,70,2,0
10/26/1993,13:04,"Fuzhou, China",China Eastern Airlines,5398,Shenzen - Fuzhou,McDonnell Douglas MD-82,B-2103,49355,80,2,0
11/10/1993,18:05,"Sandy Lake, Canada",Air Manitoba,205,Winnipeg - Sandy Lake,Hawker Siddeley HS-748-234 Srs. 2A,C-GQTH,1617,7,7,0
11/13/1993,14:55,"Urumqi, China",China Northern Airlines,6901,Beijing - Urumqi,McDonnell Douglas MD-82,B-2141,49849/1772,102,12,0
11/20/1993,23:30,"Near Ohrid, Macedonia",Aviaimpex (Macedonia),110,Genève - Skopje,Yakovlev YAK-42D,RA-42390,4016557,116,116,0
12/01/1993,19:50,"Hibbing, Minnesota",Express Airlines - Northwest Airlink,5719,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,N334PX,706,18,18,0
01/03/1994,12:07,"Near Irrupts, Siberia, Russia",Baikal Air,130,Irkutsk - Moscow,Tupolev TU-154M,RA-85656,89A801,124,124,1
01/07/1994,23:21,"Columbus, Ohio",AtlantiCoast Airlines (United Express),6291,"Washington D.C. - Columbus, OH",British Aerospace Jetstream 4101,N304UE,41016,8,5,0
02/25/1994,19:46,"East Midlands, England",British World Airways,4272,Edinburgh - Coventry,Vickers 813 Viscount,G-OHOT,349,2,1,0
03/02/1994,17:59,"New York, New York",Continental Airlines,795,New York City - Denver,McDonnell Douglas MD-82,N18835,49439,116,0,0
03/17/1994,22:30,Near Nag,Military - Iranian Air Force,-,Tehran - Moscow,Lockheed Hercules C-130,5-8521,4432,32,32,0
03/23/1994,00:57,"Near Mezhdurechensk, Russia",Aeroflot Russian International Airways,593,Moscow - Hong Kong,Airbus A310-304,F-OGQS,596,75,75,0
04/04/1994,14:46,"Amsterdam, Netherlands",KLM Cityhopper,433,Amsterdam - Cardiff,Saab 340B,PH-KSH,195,24,3,0
04/26/1994,20:16,"Near Komaki, Aichi, Japan",China Airlines (Taiwan),140,Taipe - Nagoya,Airbus A300B4-622R,B-1816,580,271,264,0
06/06/1994,08:20,"Near Xi'an, China",China Northwest Airlines,2303,Xian - Guangzhou,Tupolev TU-154M,B-2610,86A-740,160,160,0
06/26/1994,19:35,"Abidjan, Ivory Coast",Air Ivorie,777,San Pedro - Abidjan,Fokker F-27 Friendship 400M,TU-TIP,10577,17,17,0
06/30/1994,17:41,"Toulouse-Blagnac, France",Airbus Industrie,129,Toulouse - Toulouse,Airbus A330-321,F-WWKH,042,7,7,0
07/02/1994,18:43,"Charlotte, North Carolina",USAir,1016,"Columbia, SC - Charlotte, NC",McDonnell Douglas DC-9-30,N954VJ,47590,57,37,0
08/10/1994,11:22,"Cheju, South Korea",Korean Airlines,2033,Seoul - Cheju,Airbus A300B4-622R,HL-7296,583,160,0,0
09/08/1994,19:03,"Near Aliquippa, Pennsylvania",USAir,427,Chicago - Pittsburgh,Boeing B-737-3B7,N513AU,23699/1452,132,132,0
10/12/1994,22:50,"Krakas Mountains, near Natanz , Iran",Iran Asseman Airlines,746,Isfahan - Terhan,Fokker F-28 Fellowship 1000,EP-PAV,11070,66,66,0
10/31/1994,15:59,"Roselawn, Indiana",American Eagle,4184,Indianapolis - Chicago,ATR-72-212,N401AM,401,68,68,0
12/10/1994,11:30,PacifiOcean,Philippine Air Lines,434,Manila - Cebu - Tokyo,Boeing B-747-200,EI-BWF,21575,293,1,0
12/13/1994,18:34,"Morrisville, North Carolina",American Eagle,3379,Greensboro - Raleigh,British Aerospace Jetstream 3201,N918AE,918,20,15,0
12/21/1994,09:53,"Coventry, England",Phoenix Aviation,702,East Midlands - Coventry,Boeing 737-2D6C,7T-VEE,20758/322,5,5,0
12/26/1994,17:00,"Algiers Airport, Algeria",Air France,8969,Alger - Paris,Airbus A300B2-1C,F-GBEC,104,239,3,0
12/29/1994,15:30,"Near Van, Turkey",Turkish Airlines (THY),278,Ankara - Van,Boeing B-737-4Y0,TC-JES,26074/2376,76,57,0
