Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
12/26/1998,12:00,"Vila Nova, Angola",Transafrik,806,Huambo - Saurimo,Lockheed Martin L-100-30 Hercules,S9-CAO,4561,14,14,0
02/24/1999,16:34,"Rui'an, China",China Southwest Airlines,4509,Chengdu - Wenzhou,Tupolev TU-154,B-2622,90A-846,61,61,0
03/19/1999,09:45,"Davis Inlet, Newfoundland, Canada",Provincial Airlines,960,Goose Bay - Davis Inlet,de Havilland Canada DHC-6 Twin Otter 300,C-FWLQ,724,2,1,0
04/07/1999,00:33,"Near Ceyhan, Turkey",Turkish Airlines (THY),5904,Adana - Ciddah,Boeing 737-4Q8,TC-JEP,25378/2732,6,6,0
04/15/1999,16:05,"Shanghi, China",Korean Air,6316,"Shanghi, China - Seoul, Korea",McDonnell Douglas MD-11,HL-7373,48409/490,3,3,0
06/01/1999,23:50,"Little Rock, Arkansas",American Airlines,1420,Dallas-Fort Worth - Little Rock,McDonnell Douglas MD-82,N215AA,49163/1111,145,11,0
06/30/1999,02:42,"Seraing, Belgium",Nightexpress,114,"London, England - Frankfort, Germany",Beechcraft 99,D-IBEX,U- 45,2,2,0
07/07/1999,19:51,"Near Kathmandu, Nepal",Lufthansa Cargo Airlines,8533,Kathmandu - New Delhi,Boeing 727-243F,VT-LCI,22168/1770,5,5,0
07/16/1999,21:41,"Off Martha's Vineyard, Massachusetts",Private,-,"Fairfield, N.J. - Martha's Vineyard, MA",Piper PA-32-R301 Saratoga II HP,N9253N,3213100,3,3,0
07/20/1999,11:00,"Near Bluefields, Nicaragua",La Costena,046,Managua - Bluefields,Cessna 208B Grand Caravan,YN-CED,208B-0341,16,16,0
07/24/1999,05:35,"Nasevou Village, Fiji",Air Fiji,121,Nausori - Nadi,Embraer 110P1 Bandeirante,DQ-AFN,110416,17,17,0
07/31/1999,08:30,"Marine City, Michigan",Private,-,Sky Diving,Beech King Air 65-A90,N518DM,LJ-251,10,10,0
08/07/1999,12:00,"Santo Antao, Cape Verde Islands",TACV-Cabo Verde Airlines,5002,Sao Vicente - Santo Antao,Dornier 228-201,D4-CBC,8091,18,18,0
08/12/1999,23:58,"Sept-Îles, Canada",Regionnair,347,Port-Menier - Sept-Iles,Beechcraft 1900D,C-FLIH,UE-347,4,1,0
08/22/1999,18:45,"Hong Kong, China",China Airlines (Taiwan),642,Bangkok - Hong Kong,McDonnell Douglas MD-11,B-150,48468/518,315,3,0
08/24/1999,12:36,"Hualian, Taiwan",Uni Air,873,Taipei - Hualian,McDonnell Douglas MD-90-30,B-17912,53536/2160,96,1,0
08/31/1999,20:55,"Buenos Aires, Argentina","LAPA, Lineas Aereas Privadas Argentinas",3142,Buenos Aires - Cordoba,Boeing B-737-204C,LV-WRZ,20389/251,103,64,10
09/03/1999,12:50,"Glasgow, Scotland",Edinburgh Air Charter,-,Glasgow - Aberdeen,Cessna 404 Titan Ambassador,G-ILGW,404-0690,11,8,0
09/05/1999,10:30,"Near Kathmandu, Nepal",Necon Air,128,Pokhara - Kathmandu,Hawker Siddeley HS-748-501 Super 2B,9N-AEG,1806,15,15,0
09/25/1999,17:25,"Mt. Mauna Loa, Hawaii",Big Island Airlines,58,Sightseeing,Piper PA-31-350 Navajo Chieftain,N411WL,31-8352039,10,10,0
10/31/1999,06:52,"Off Nantucket Island, Massachusetts",EgyptAir,990,New York City - Cairo,Boeing B-767-366ER,SU-GAP,24542/282,217,217,0
11/09/1999,19:03,"Near Uruapan, Mexico",TAESA,725,Uruapan - Mexico City,McDonnell Douglas DC-9-31,XA-TKN,47418/570,18,18,0
11/12/1999,11:13,"Near Pristina, Kosovo",Si Fly - U.N. charter,3275,Rome - Pristina,Aerospatiale Alenia ATR-42,F-OHFV,12,24,24,0
12/06/1999,07:06,"Johannesburg, South Africa",Charter - Flightline Charter Services,-,"Johannesburg, South Africa  - Oranjemund, Namibia",Piper PA-31-350,ZS-OJY,31-7405210,9,9,0
12/09/1999,12:04,"Near Sundsvall, Sweden",Charter - Twin Air HB,-,Sundsvall - Gothenburg,Piper PA-31-350,SE-GDN,31-7300948,8,8,0
12/11/1999,09:20,"Sao Jorge, Azores (Portugal)",SATA,530,Ponta Delgada - Horta,British Aerospace APT,CS-TGM,2030,35,35,0
12/21/1999,09:40,"Guatemala City, Guatemala",Cubana de Aviacon,261,Havana - Guatemala City,McDonnell Douglas DC-10-30,F-GTDI,46890/77,314,16,2
12/22/1999,18:38,"Great Hallingbury, United Kingdom",Korean Air,8509,"London, England - Milan, Italy",Boeing 747-2B5F,HL-7451,22480/448,4,4,0
12/25/1999,20:15,"Bejuma, Venezuela",Cubana de Aviacion,310,Havana - Valencia,Yakovlev YAK-42D,CU-T1285,4520424914068,22,22,0
01/10/2000,17:54,"Niederhasli, Switzerland",Crossair,498,Zürich - Dresden,Saab 340B,HB-AKK,213,10,10,0
01/30/2000,21:08,"Off Abidjan, Ivory Coast",Kenya Airways,431,Abidjan - Lagos,AirbusA310-304,5Y-BEN,426,179,169,0
01/31/2000,16:21,"Off Point Mugu, California",Alaska Airlines,261,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,N963AS,53077/1995,88,88,0
02/16/2000,19:50,"Sacramento, California",Emery Worldwide,17,"Sacramento, CA - Dayton, OH",McDonnell Douglas DC-8-71F,N8079U,45947/341,3,3,0
03/05/2000,18:11,"Burbank, Calilfornia",Southwest Airlines,1455,Las Vegas - Burbank,Boeing B-737-3T5,N668SW,23060/1069,142,0,0
04/19/2000,07:02,"Samal Island, Philippines",Air Philippines,541,Manila - Davao,Boeing B-737-2H4,RP-C3010,21447/508,131,131,0
05/21/2000,11:28,"Near Wilkes-Barre, Pennsylvania",Executive Airlines,Charter,AtlantiCity - Wilkes-Barre,BAe Jetstream 3101-31,N16EJ,834,19,19,0
05/25/2000,02:50,"Paris, France",Streamline,200,Paris - London,Shorts 330-200,G-SSWN,SH-3064,2,1,0
05/31/2000,19:05,"Off Whyalla, Australia",Whyalla Airlines,904,Adelaide - Whyalla,Piper PA-31-350 Navajo,VH-MZK,31-8152180,8,8,0
06/05/2000,11:35,"Accra, Ghana",Ghana Airlink,200,Tamale - Accra,Fokker F-27 Friendship 600,G-524,10535,52,7,0
06/14/2000,09:50,"Liverpool, England",ANT Air Taxi,-,Ronaldsway - Liverpool,Piper PA-31-350 Navajo,G-BMBC,31-7652172,5,5,0
06/22/2000,15:16,"Shitai, China",Wuhan Airlines,343,Enshi - Wuhan,Xian Yunshuji Y-7-100C,B-3479,06708,44,44,7
07/08/2000,19:50,"Near Villahermosa, Mexico",Aerocaribe,7831,Tuxtla Gutierrez - Villahermosa,British Aerospace  BAe Jetstream 32EP,N912FJ,912,19,19,0
07/17/2000,07:34,"Patna, India",Indian Airlines/Alliance Airlines,7412,Calcutta - Patna - Lucknow - New Delhi,Boeing B-737-2A8 Advanced,VT-EGD,22280/671,58,55,5
07/19/2000,00:30,"Linneus, Maine",Airwave Transport,9807,Moncton - Montreal,Grumman G-159 Gulfstream I,C-GNAK,154,2,2,0
07/25/2000,16:44,"Gonesse, France",Air France,4590,Paris - New York City,Aerospatiale BAe Concorde 101,F-BTSC,203,109,109,4
08/06/2000,15:55,"Puerto Montt, Chile",Military - Fuerza Aérea de Chile,-,Santiago - Coihaique,Casa 212-AB10 Aviocar,230,AB10-454,14,14,0
08/23/2000,19:30,"Off Manama, Bahrain",Gulf Air,072,Cairo - Manama,Airbus A320-212,A4O-EK,0481,143,143,0
08/25/2000,17:30,"Hilo Bay, Hawaii",Big Island Airlines,57,Sightseeing,Piper PA-31-350 Navajo Chieftain,N923BA,31-8252024,9,1,0
08/26/2000,12:10,"Near La Fortuna, Costa Rica",SANSA,1644,San Jose  - La Fortuna - Tamarindo,Cessna 208B Grand Caravan I,HP-1357AAP,208B-0709,10,10,0
09/18/2000,15:10,"Nuiqsut, Alaska",Cape Smythe Air Service,181,Deadhorse - Nuiqsut,Piper PA-31-350 Navajo,N220CS,8275013,10,5,0
10/06/2000,16:55,"Reynosa, Mexico",Aeromexico,250,Mexico City - Reynosa - Matamoros,McDonnell Douglas DC-9-31,N936ML,47501/571,88,0,4
10/09/2000,09:50,"Lummi Island, Washington",Empire Airlines,665,Bellingham - Eastsound-Orcas Island,Cessna 208B Caravan I Super Cargomaster,N941FE,208B-0192,1,1,0
10/19/2000,12:12,"Near Sam Neua, Laos",Lao Aviation,703,Vientiane - Sam Neua,Harbin Yunshuji Y-12-II,RDPL-34130,86,17,8,0
10/31/2000,23:17,"Taipei, Taiwan",Singapore Airlines,006,Taipei - Los Angeles,Boeing B-747-412,9V-SPK,28023/1099,179,83,0
01/25/2001,18:15,"Ciudad Bolivar, Venezuela",Rutaca Airlines,224,Canaina - Ciudad Bolivar - Por La Mar,Douglas DC-3C (C47A-DL),YV-224C,19055,24,24,0
02/27/2001,17:30,"Near Granton Harbour, Scotland",Loganair,670,Edinburgh - Belfast,Shorts 360-100,G-BNMT,SH3723,2,2,0
03/03/2001,14:48,"Bangkok, Thailand",Thai Airways,114,Bangkok - Chiang Mai.,Boeing B-737-4D7,HS-TDC,25321/2113,5,1,0
03/24/2001,16:30,"Gustavia, St. Barthélémy, French West Indies",Air Caraibes,1501,St. Maarten - St. Barthélémy,de Havilland Canada DHC-6 Twin Otter,F-OGES,254,19,19,1
03/29/2001,19:01,"Near Aspen, Colorado",Jetwingsco Inc. - Private Charter,-,Los Angeles - Aspen,Grummand Gulfstream III,N303GA,303,18,18,0
07/04/2001,02:08,"Near Irkutsk, Russia",Vladivostokavia,352,Yekaterinburg - Irkutsk - Vladivostok,Tupolev TU-154M,RA-85845,86A-735,145,145,0
08/24/2001,18:46,"Terceira, Azores",Canadian Air Transat,236,Toronto - Lisbon,Airbus A-330-243,C-GITS,0271,304,0,0
08/25/2001,18:45,"Marsh Harbour, Bahamas",Blackhawk Int. Airways  - Private charter,-,Abaco - Miami,Cessna 402B,N8097W,402B1014,9,9,0
08/29/2001,10:15,"Near Malaga, Spain",Binter Mediterráneo,8261,Melilla - Málaga,CASA  CN-235-200,EC-FBC,C033,47,4,0
09/11/2001,10:03,"Shanksville, Pennsylvania",United Air Lines,93,Newark - San Francisco,Boeing B-757-222,N591UA,28142/718,44,44,0
09/11/2001,09:45,"Arlington, Virginia.",American Airlines,77,Washington D.C. - Los Angeles,Boeing B-757-223,N644AA,24602/365,64,64,125
09/11/2001,08:47,"New York City, New York",American Airlines,11,Boston - Los Angeles,Boeing 767-223ER,N334AA,22332/169,92,92,2750
09/11/2001,09:03,"New York City, New York",United Air Lines,175,Boston - Los Angeles,Boeing B-767-222,N612UA,21873/41,65,65,2750
09/12/2001,16:25,"Near Chichen Itza, Mexico",Aero Ferinco Charter,-,Chichen Itza - Cozumel,LET 410UVP,XA-ACM,892401,19,19,0
09/18/2001,07:30,"Guatemala City, Guatemala",AtlantiAirlines,870,"Guatemala City - San Pedro Sula, Honduras",LET 410UVP-E,TG-CPE,861705,13,9,0
10/04/2001,13:44,"110 miles SW of Sochi, Russia",Sibir Airlines,1812,"Tel Aviv -  Novosibirsk, Russia",Tupolev Tu-154M,RA-85693,90A-866,78,78,0
10/08/2001,08:10,"Milan, Italy",Scandinavian Airlines (SAS) / Private,686 / -,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,SE-DMA / D-IEVX,53009/ 525A-0036,114,114,4
10/10/2001,09:26,"Dillingham, Alaska",PenAir,350,Dillingham - King Salmon,Cessna 208 Caravan,N9530F,20800088,10,10,0
10/10/2001,10:42,"Off Valencia, Spain",Flightline,101,"Barcelona - Oran, Algeria",Swearingen SA-226AT Merlin IV,EC-GDV,AT-043,10,10,0
11/12/2001,09:16,"Belle Harbor, Queens, New York",American Airlines,587,"New York City - Santo Domingo, Dominican Rep.",Airbus A-300-605R,N14053,420,260,260,5
11/19/2001,21:19,"Kalyazin, Russia",Charter - IRS Aero,-,Khatanga - Moscow,Ilyushin 18V,RA-75840,182005301,27,27,0
11/24/2001,22:07,"Birchwil, Switzerland",Crossair,3597,Berlin - Zurich,BAE Avro RJ100,HB-IXM,E-3291,33,24,0
11/28/2001,11:48,"San Jerónimo de Moravia , Costa Rica",SANSA,1624,San Jose - Quepos,Cessna 208B Grand Caravan,HP-1405APP,208B0788,8,3,0
12/01/2001,12:54,"Near Novaya Inya , Russia","Military - Russian, cargo",-,Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,RA-76839,1023411375,18,18,0
12/10/2001,18:21,"Sierra Blanca, Texas",Air Cargo Express,36,Harlingen - El Paso,Learjet 24D,N997TD,24-247,2,2,0
01/14/2002,07:28,"Bilbao, Spain",Ibertrans Aérea,1278,Madrid - Bilbao,Embraer EMB-120 Brasilia,EC-GTJ,120-024,3,3,0
01/16/2002,16:29,"Near Solo, Indonesia",Garuda Indonesia Airlines,421,Ampenan - Yogyakarta - Jakarta,Boeing B-737-3Q8,PK-GWA,24403/1706,62,1,0
01/19/2002,c: 9:40,"Near Milford Sound, New Zealand",Air Fiordland,-,Te Anau  - Milford Sound,Cessna 207 Skywagon,ZK-SEV,20700204,6,6,0
01/28/2002,11:00,"Near Ipiales, Colombia",TAME,120,Quito -  Tulcán - Cali,Boeing B-727-134,HC-BLF,19692/498,92,92,0
02/12/2002,07:50,"Near Khorramabed, Iran",Iran Air Tours,956,Tehran - Khorramabed,Tupolev TU-154,EP-MBS,91A-871,117,117,0
02/21/2002,20:44,"Lakhta, Russia",Military - Russian Navy,-,Sanofov - Lakhta,Antonov AN-26,07RED,ZR726001,20,17,0
02/22/2002,02:30,"Off Dumaguete, Philippines",Military - U.S. Army,-,Basilan - Mactan Island,MH-47 Chinook helicopter,92-0471,M-3719,10,10,0
03/09/2002,13:40,"Monte Rotondo, Italy",Svedijos Prekés,2801,"Budapest, Hungary - Tunis, Tunisia",Antonov 2TP,LY-AVD,1G137-53,3,3,0
04/12/2002,04:07,"Palma de Mallorca, Spain",Tadair,306,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,EC-GKR,AC-620,2,2,0
04/15/2002,11:23,"Busan, South Korea",Air China,129,Beijing - Busan,Boeing B-767-200ER,B-2552,23308/127,166,128,0
05/04/2002,13:30,"Kano, Nigeria",EAS Airlines (Executive Airline Services),4226,Abuja - Jos - Kano - Lagos,BAC One-Eleven 525FT,5N-ESF,266,77,74,75
05/07/2002,15:17,"Near Tunis, Tunisia",EgyptAir,843,Cairo - Tunis,Boeing B-737-566,SU-GBI,25307/2135,62,14,0
05/07/2002,21:32,"Off Dalian, China",China Northern Airlines,6136,Beijing - Dalian,McDonnell Douglas MD-82,B-2138,49522/17023,112,112,0
05/25/2002,15:29,"Off Penghu Island, Taiwan",China Airlines (Taiwan),611,Taipei - Hong Kong,Boeing B-747-209B,B-18255,21843/386,225,225,0
07/01/2002,23:36,"Uberlingen, Germany",Bashkirian Airlines / DHL Worldwide Express,2927 / 611,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,RA85816/A9C-DHL,1006 / 24635/258,71,71,0
07/16/2002,19:45,"Off Cromer, Norfork, England",Bristow Helicopters,-,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,G-BJVX,760100,11,11,0
08/07/2002,22:00,"Caguas, Puerto Rico",Military - U.S. Air Force,-,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,90-0161,5265,10,10,0
10/23/2002,19:45,"Spanish Fort, Alabama",Mid-AtlantiFreight,282,Mobile - Mongomery,Cessna 208B Cargomaster I,N76U,208B-0775,1,1,0
10/25/2002,10:22,"Eveleth, Minnesota",Aviation Charter - Air Taxi,-,St. Paul - Eveleth,Beechcraft King Air A100,N41BE,B-245,8,8,0
11/06/2002,10:10,"Near Niederanven, Luxembourg",Luxair,9642/2420,"Berlin, Germany - Luxembourg",Fokker 50,LX-LGB,20221,22,20,0
11/11/2002,06:09,"Manila, Philippines",Laoag International Airlines,585,Manila - Laoag,Fokker F27 Friendship 100,RP-C6888,10571,34,19,0
11/28/2002,14:15,"Masai Mara Game Reserve, Kenya",Eagle Aviation,-,Ol Kiombo - Mombasa,Let 410UVP-E20,5Y-ONT,871812,20,1,0
12/17/2002,22:51,"Rockford, Illinois",Planemasters,1627,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,N277PM,208B-0143,1,1,0
12/23/2002,19:30,"Near Isfanan, Iran",Aeromist-Kharkiv,2137,"Kharkiv, Ukraine - Trabzon, Turkey - Isfanan, Iran",Antonov AN-140,UR-14003,0204,44,44,0
01/08/2003,20:28,"Diyarbakir, Turkey",Turkish Airlines (THY),634,Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,TC-THG,E-3241,80,75,0
01/08/2003,08:53,"Charlotte, North Carolina",US Air Express/Air Midwest,5481,"Charlotte, NC - Greer, SC",Beech BE-1900D,N233YV,UE-233,21,21,0
01/09/2003,08:43,"Near Chachapoyas, Peru",TANS Airlines,222,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,OB-1396,11100,46,46,0
02/10/2003,19:42,"Tallinn, Estonia",Enimex,827,Tallinn - Helsinki,Antonov AN-28,ES-NOY,1AJ006-04,3,2,0
02/20/2003,08:52,"Near Kohat, Pakistan",Military - Pakistan Air Force,-,Islamabad - Kohat,Fokker F-27 Friendship 200,10254,10254,17,17,0
03/01/2003,14:25,"Near Barki, Russia",Private - Kabanov - skydiving,-,Skydiving,Let L-410UVP,FLARF-01032,831109,25,11,0
03/06/2003,15:45,"Tamanrasset, Algeria",Air Algerie,6289,Tamanrasset - Algiers,Boeing B-737-2T4,7T-VEZ,22700/885,103,102,0
03/28/2003,15:49,"New Vienna, Iowa",Morris Hancock Flying Club - Charter,-,"Aurora, IL - Morris, MN",Beech A36,N1636W,E-348,3,3,0
05/26/2003,04:45,"Near Macka, Turkey",Ukranian-Mediterranean Airlines,4230,"Kabul, Afghanistan - Trabzon, Turkey - Zaragoza, Spain",Yakovlev 42D,UR-42352,2042181195,75,75,0
06/06/2003,19:15,"Christchurch, New Zealand",Charter - Air Adventures New Zealand Ltd,-,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,ZK-NCA,31-7405203,10,8,0
06/22/2003,23:55,"Near Brest, France",Brit Air,5672,Nantes - Brest,Canadair CRJ-100ER,F-GRJS,7377,24,1,0
07/08/2003,04:00,"Port Sudan, Sudan",Sudan Airways,139,Port Sudan - Khartoum,Boeing 737-2J8C,ST-AFK,21169/429,117,116,0
07/19/2003,18:00,"Mount Kenya, Kenya",Ryan Blake Air Charter,-,Nairobi - Samburu National Park,Swearingen SA-226T Metro II,ZS-OYI,TC-349,14,14,0
08/24/2003,14:00,"Cap Haitien, Haiti",Tropical Airways,1301,Cap Haitien - Port au Paix,Let 420UVP-E,HH-TAD,861702,21,21,0
09/11/2003,20:30,"Near Summer Beaver, Canada",Wasaya Airways,125,Pickle Lake - Summer Beaver,Cessna 208B Grand Caravan,C-FKAB,208B-0305,8,8,0
09/19/2003,17:10,"Del Rio, Texas",Ameristar Jet Charter,982,El Paso - Del Rio,Learjet 25B,N666TW,25-116,2,1,0
10/03/2003,21:25,"Off Waikanae, New Zealand",Air Freight New Zealand,642,Christchurch - Palmerston North,Convair CV-580F,ZK-KFU,017,2,2,0
10/29/2003,08:51,"Cody, Wyoming",FedEx,8773,Casper - Cody,Cessna 208B Caravan I Super Cargomaster,N791FE,208-0289,1,1,0
11/29/2003,08:01,"Spokane, Washington",Ameriflight,1996,Seattle - Spokane,Swearingen SA227AT Merlin IVC,N439AF,AT-439B,1,1,0
12/25/2003,14:55,"Cotonou, Benin",Union des Transports Aeriens de Guinee,141,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon",Boeing B-727-223,3X-GDO,21090,161,140,0
01/03/2004,04:44,"Off Sharm el Sheikh, Egypt",Flash Air,604,"Sharm el Sheikh, Egypt - Cairo, Egypt",Boeing B-737-3Q8,SU-ZCF,26283,148,148,0
01/13/2004,19:40,"Tashkent, Uzbekistan",Uzbekistan Airways,1154,Termez - Tashkent,Yakovlev YAK-40,UK-87985,9540844,37,37,0
01/17/2004,16:40,"Lake Erie, off Pelee Island, Ontario, Canada",Georgia Express,0126,"Pelee Island, Ontario - Windsor, Ontario",Cessna 208B Grand Caravan,C-FAGA,208B-0658,10,10,0
02/10/2004,11:40,"Sharjah, United Arab Emirates",Kish Airlines,1770,Kish Island - Sharjah,Fokker F-50,EP-LCA,20273,46,43,0
05/14/2004,18:30,"Near Manaus, Brazil",Rico Linhas Aereas,4815,Sao Paulo - Tefe - Manaus,Embraer 120ER Brasilia,PT-WRO,120070,33,33,0
05/25/2004,13:56,"Near Lukla, Nepal",Yeti Airlines,117,Katmandou - Lukla,de Havilland DHC-6 Twin Otter 300,9N-AFD,651,3,3,0
06/08/2004,09:38,"Off Libreville, Gabon",Gabon Express,221,Libreville - Franceville,BAe HS-748-232 Srs 2A,TR-LFW,1611/82,30,19,0
08/13/2004,00:50,"Cincinnati, Ohio",Air Taroma,185,Memphis - Cincinnati,Convair CV-580,N586P,68,2,1,0
08/17/2004,23:40,"Great Falls, Montana",Alpine Air Express,5071,Billings - Kalispell,Beechcraft 99,N199GL,U-15,2,2,0
08/24/2004,22:59,"Near Rostov-on-Don, Russia",Sibir Airlines,1047,Moscow - Sochi,Tupolev 154B-2,RA-85556,82A-556,46,46,0
08/24/2004,22:56,"Near Toula, Russia",Volga-Avia Express,1303,Moscow - Volograd,Tupolev 134A-3,RA-65080,60065,41,41,0
11/27/2004,11:20,"Near Bagram, Afghanstan",Presidental Airways Inc. - Air Taxi,-,"Bagram - Farah, Afghanstan",CASA 212-CC,N960BW,231,6,6,0
10/14/2004,22:15,"Jefferson City, Missouri",Pinnacle Airlines/Northwest Airlink,3701,Little Rock - Minneapolis,Canadair CRJ200LR RegionalJet,N8396A,10161,2,2,0
10/14/2004,03:56,"Halifax, Nova Scotia, Canada",MK Airlines,1602,"Windsor Locks - Halifax - Zaragoza, Spain",Boeing 747-244B-SF,9G-MKJ,22170,7,7,0
10/19/2004,07:45,"Near Kirksville, Missouri",Corporate Airlines (American Connection),5966,"St. Louis, MO - Kirkville, MO",Bae Jetstream 3201,N875JX,875,15,13,0
11/18/2004,13:02,"Caracas, Venezuela",Venezolana,213,El Vigia - Caracas,BAe 3101 Jetstream 31,YV-1083C,762,21,3,0
11/28/2004,09:55,"Montrose, Colorado",Glow Air/Air Castle - Charter,73,"Montrose, CO - South Bend, IN",Canadair CL-601-2A12 Challenger,N873G,3009,6,3,0
11/30/2004,18:14,"Solo, Indonesia",Lion Air,583,"Jakarta, Indonesia - Solo, Indonesia",McDonnell-Douglas MD-82,PK-LMN,49189/1173,154,26,0
02/03/2005,17:00,"Near Peshawar, Pakistan",Kam Air,904,Herat - Kabul,Boeing B-737-200,EX-037,22075/630,104,104,0
02/10/2005,20:30,"Lebec, California",Action Air Express Inc. - Air Taxi,-,"Fresno, CA - Santa Monica, CA",Cessna P210N,N432AR,P21000098,2,2,0
06/02/2005,11:15,"Khartoom, Sudan",Marsland Aviation,430,Kartoom - El Obeid - El Fasher,Antonov AN-24B,ST-WAL,6991004,42,7,0
08/02/2005,16:04,"Toronto, Canada",Air France,358,"Paris, France - Toronto Canada",Airbus A-340,F-GLZQ,289,309,0,0
08/06/2005,15:40,"Off Palermo, Italy",Tuninter,1153,"Bari, Italy - Djerba, Tunisia",ATR-72-202,TS-LBB,258,39,16,0
08/14/2005,12:20,"Near Grammatikos, Greece",Helios Airways,522,"Larnaca, Cyprus - Athens, Greece - Prague, Czech Republic",Boeing 737-31S,5B-DBY,29099/2982,121,121,0
08/23/2005,15:06,"Near Pucallpa, Peru",TANS Peru,204,Lima - Pucallpa - Iquitos,Boeing B-737-244,OB-1809,22580/87,98,40,0
09/05/2005,09:40,"Medan, Indonesia",Mandala Airlines,091,Medan - Jakarta,Boeing 737-230,PK-RIM,22136/738,117,99,44
10/06/2005,05:40,"Winnipeg, Canada",Morningstar Air Express,8060,"Winnipeg - Thunder Bay, Ontario",Cessna 208B,C-FEXS,208B-0542,1,1,0
10/22/2005,20:40,"Lisa, Nigeria",Bellview Airlines,3210,Lagos - Abuja,Boeing B-737-2L9,5N-BFN,22734/818,117,117,0
12/08/2005,19:15,"Chicago, Illinois",Southwest Airlines,1248,"Baltimore, Maryland - Chicago, Illinois - Las Vegas, Nevada",Boeing B-737-7H4,N471WN,32471/1535,103,0,1
12/10/2005,14:08,"Near Port Harcourt, Nigeria",Sosoliso Airlines,1145,Abuja - Port Harcourt,McDonnell DC-9-32,5NBFD,47562/685,109,108,0
12/19/2005,14:40,"Off Miami Beach, Florida",Chalk's Ocean Airways,101,"Miami, Florida - Bimini, Bahamas",Grumman G73T Turbo Mallard,N2969,J-27,20,20,0
12/23/2005,22:27,"Nardaran, Azerbaijan",Azerbaijan Airlines,217,"Baku, Azerbaijan - Aktau, Kazakhstan",Antonov AN-140-100,4K-AZ48,36525307036,23,23,0
03/31/2006,17:35,"Rio Bonito, Brazil",Team Air,6865,Macaé - Rio de Janeiro,Let L410UVP-E20,PT-FSE,912532,19,19,0
05/03/2006,02:15,"Off Sochi, Russia",Armavia,967,"Yerevan, Armenia - Sochi, Russia",Airbus A320-211,EK-32009,547,113,113,0
07/09/2006,07:44,"Irkutsk, Russia",Sibir (S7),778,Moscow - Irkutsk,Airbus A-310-324ET,F-OGYP,442,203,128,0
07/10/2006,12:05,"Multan, Pakistan",Pakistan International Airlines,688,Multan - Lahore,Fokker F-27 Friendship 200,AP-BAL,10243,45,45,0
08/04/2006,09:30,"Near Pownal, Vermont",AirNow,59,"Binghamton, NY - Benningham, VT",Embraer 110 Bandeirante,N59BA,110-396,1,1,0
08/13/2006,20:15,"Near Piacenza, Italy",Air Algerie,2208,"Algiers, Algeria - Frankfurt, Germany",Lockheed L-100-30 Hercules,7T-VHG,4880,3,3,0
08/22/2006,15:30,"Near Donetsk, Ukraine",Pulkovo Airlines,612,Anapa - St. Petersburg,Tupolev Tu-154M,RA-851857,894,170,170,0
08/27/2006,06:07,"Lexington, Kentucky",Comair,5191,"Lexington, KY - Atlanta, GA",Canadair CRJ-200ER,N431CA,7472,50,49,0
09/29/2006,15:59,"Near Sao Felix do Araguaia , Brazil",Gol Airlines / Private,1907,Manaus - Brasilia,Boeing B-737-8EH /EMB-135JB,PR-GTD / N600XL,34653/2039 /14500965,161,154,0
10/10/2006,07:35,"Stord, Norway",AtlantiAirways,670,Stavanger - Stord,BAe 146-200,OY-CRG,2075/75,16,4,0
10/29/2006,11:30,"Near Abuja, Nigeria",ADC Airlines,053,Lagos - Abuja - Sokoto,Boeing 737-2B7,5N-BFK,22891/998,105,96,0
01/01/2007,14:07,"Off Parepare, Indonesia",Adam Air,574,"Surabaya, East Java - Manado, Indonesia",Boeing B-737-4Q8,PK-KKW,24070,102,102,0
01/25/2007,11:15,"Pau, France",Regional Compagnie Aerienne Europeenne,7775,Pau - Paris,Fokker 100,F-GMPG ,11362,54,0,1
03/07/2007,07:14,"Yogyakarta, Indonesia",Garuda Indonesia Airlines,200,Jakarta - Yogyakarta,Boeing B-737-497,PK-GZC,25664/2393,140,22,0
03/17/2007,11:40,"Samara, Russia",UTAir Airlines,471,Surgut - Samara,Tupelov 134AK,RA-65021,48390,57,6,0
06/25/2007,10:40,"Near Sihanoukville, Cambodia",PMT Air,241,Siem Reap - Sihanoukville,Antonov AN-24V,XU-U4A,99901908,22,22,0
07/17/2007,18:52,"Sao Paulo, Brazil",TAM (Brazil),3054,Porto Alegre - Sao Paulo,Airbus A-320-233,PR-MBK,789,187,187,12
07/29/2007,04:22,"Moscow, Russia",Atran,9655,Sightseeing,Antonov AN-12BP,RA-93912,4341709,9,9,0
