Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
12/27/1936,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247-D,NC13355,1737,12.0,12.0,0.0
01/12/1937,11:07,"Near Newhall, California",Western Air Express,7,Salt Lake City - Burbank,Boeing 247B,NC13315,1696,13.0,5.0,0.0
02/09/1937,20:50,"Off San Francisco, California",United Air Lines,23,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11.0,11.0,0.0
03/25/1937,18:40,"Clifton, Pennsylvania",Trans Continental and Western Air,15A,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13.0,13.0,0.0
05/06/1937,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97.0,35.0,1.0
