Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
06/13/1947,18:16,"Leesburg, Virginia",Pennsylvania Central Airlines,410,Pittsburgh - Washington D.C.,Douglas DC-4 (C-54-DO),NC88842,3112,50.0,50.0,0.0
06/19/1947,23:40,"Al Mayadin, Syria",Pan American World Airways,121,Karachi - Istanbul,Lockheed 049-46-21 Constellation,NC88845,2045,36.0,14.0,0.0
10/08/1947,07:55,"Near El Paso, Texas",American Airlines,311,New York City - Dallas - Los Angeles,Douglas DC-4,NC90432,10314/DC45,54.0,0.0,0.0
10/24/1947,12:29,"Bryce Canyon, Utah",United Air Lines,608,Los Angeles - New York City,Douglas DC-6,NC37510,42875/17,53.0,53.0,0.0
10/26/1947,13:45,"Annette Island, Alaska",Pan American World Airways,923,Seattle - Juneau,Douglas DC-4A,NC88920,10317,18.0,18.0,0.0
