Date,Time,Location,Route,Type,Aboard
10/02/1971,11:10,Near Aarsele West Vlaanderen Belgium,London - Salzburg,Vickers Vanguard 951,63.0
12/24/1971,12:36,Near Puerto Inca Huanuco Peru,Lima - Pucallpa,Lockheed 188A Electra,92.0
01/07/1972,22:00,Sierra de Atalayasa Spain,Valencia - Ibiza,Sud-Aviation Caravelle VI-R,104.0
01/26/1972,16:10,Near Hermsdorf Czechoslovakia,Stockholm - Belgrade,McDonnell Douglas DC-9-32,28.0
03/03/1972,20:48,Albany New York,"New York City - Albany, NY",Fairchild-Hiller FH-227-B,48.0
