Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
04/05/1976,08:19,Ketchikan Alaska,Alaska Airlines,60,Juneau - Ketchikan,Boeing B-727-81,N124AS,18821,50.0,1.0,0.0
04/27/1976,15:10,St Thomas Virgin Islands,American Airlines,625,New York City - Saint Thomas,Boeing B-727-95,N1963,19837/499,88.0,37.0,0.0
05/09/1976,16:30,Near Cuneca Spain,Military - Imperial Iranian Air Force,228,"Terhan, Iran - Madrid, Spain - McGuire AFB, New Jersey",Boeing B-747-131F,5-283,19677/73,17.0,17.0,0.0
06/04/1976,14:48,Agana Guam,Air Manila,702,Wake Island - Guam - Manila,Lockheed 188A Electra,RP-C1061,1007,45.0,45.0,1.0
09/09/1976,14:50,Off Adler Russia,Aeroflot / Aeroflot,7957 /31,Donetsk - Sochi /Rostov na Donu - Kerch,Antonov AN-24 / Yakovlev Yak-40,46518/87772,37308504 / 9030713,90.0,90.0,0.0
09/10/1976,10:15,Near Gaj Hrvatska Yugoslavia,Inex Adria Aviopromet / British Airways,330/476,Split - Koln / London - Istanbul,McDonnell Douglas DC-9-31 / Trident 3B,YU-AJR/G-AWZT,47649741 / 2320,176.0,176.0,0.0
10/06/1976,13:24,Off Bridgetown Barbados,Cubana de Aviacion,455,Bridgetown - Kingston,McDonnell Douglas DC-8-43,CU-T1201,45611/48,73.0,73.0,0.0
12/12/1976,23:26,Cape May New Jersey,AtlantiCity Airlines,977,AtlantiCity - Cap May,de Havilland Canada DHC-6 Twin Otter 300,N101AC,262,10.0,3.0,0.0
12/25/1976,03:45,Near Bangkok Thailand,EgyptAir,864,Cairo - Bangkok,Boeing B-707-366C,SU-AXA,20763,53.0,53.0,19.0
01/13/1977,18:15,Near Alma Ata  Kazakastan USSR,Aeroflot,3843,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,96.0,96.0,0.0
03/27/1977,17:07,Tenerife Canary Islands,Pan American World Airways / KLM,1736/4805,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,N736PA/PH-BUF,19643/11 / 20400/157,644.0,583.0,0.0
04/04/1977,16:19,New Hope Georgia,Southern Airways,242,Huntsville - Atlanta,McDonnell Douglas DC-9-31,N1335U,47393/608,85.0,62.0,8.0
