Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
03/03/1946,08:12,Live Oak Springs California,American Airlines,6-103,Dallas - Tucon - San Diego,Douglas DC-3-227B,NC21799,2203,27.0,27.0,0.0
08/21/1946,04:19,Moline Illinois,Trans Luxury Airlines,878,Teterboro - Chicago - San Francisco,Douglas C-47-DL,N51878,4542,25.0,2.0,0.0
09/05/1946,02:00,Elko Nevada,Trans-Luxury Airlines,850,New York City - San Francisco,Douglas DC-3 (C-47-A5-DL),NC57850,9214,22.0,21.0,0.0
10/08/1946,04:33,Cheyenne Wyoming,United Air Lines,28,San Francisco - Cheyenne - Chicago,Douglas DC-4,N30051,10471,41.0,2.0,0.0
10/17/1946,00:57,Laramie Wyoming,National Air Transport Services,942,Oakland - Chicago,Douglas DC-3,NC38942,12971,13.0,13.0,0.0
11/11/1946,03:30,Cleveland Ohio,United Air Lines,404,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),N19947,4873,20.0,2.0,0.0
11/13/1946,03:41,Lebec California,Western Airlines,23,Palmdale - Burbank,Douglas C-53D-DO (DC-3),NC18645,11662,11.0,11.0,0.0
12/24/1946,19:19,Near San Diego California,Western Airlines,44,Holtville - San Diego,Douglas DC-3 ( C-53D-DO),NC45395,42-68715,12.0,12.0,0.0
12/28/1946,09:19,Michigan City Indiana,American Airlines,2207,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),N15577,4805,21.0,2.0,0.0
12/28/1946,02:09,Near Shannon Ireland,Trans Continental and Western Air,6963,Paris - Shannon,Lockheed 049 Consellation,NC86505,2026,23.0,13.0,0.0
01/12/1947,01:38,Near Galax Virginia,Eastern Air Lines,665,"Akron, OH - Winston/Salem, NC",Douglas DC-3,NC88872,3274,19.0,18.0,0.0
04/28/1947,23:13,Near Vancouver British Columbia Canada,Trans Canada Air Lines,3,Lethbridge - Vancouver,Lockheed 18 Loadstar,CF-TDF,18-2248,15.0,15.0,0.0
05/29/1947,19:05,La Guardia Airport Queens New York,United Air Lines,521,New York City - Cleveland,Douglas C-54B,NC30046,18324,48.0,43.0,0.0
05/30/1947,17:41,Port Deposit Maryland,Eastern Air Lines,605,Newark - Baltimore - Miami,Douglas C-54B-15-DO,NC88814,18380,53.0,53.0,0.0
06/13/1947,18:16,Leesburg Virginia,Pennsylvania Central Airlines,410,Pittsburgh - Washington D.C.,Douglas DC-4 (C-54-DO),NC88842,3112,50.0,50.0,0.0
06/19/1947,23:40,Al Mayadin Syria,Pan American World Airways,121,Karachi - Istanbul,Lockheed 049-46-21 Constellation,NC88845,2045,36.0,14.0,0.0
10/08/1947,07:55,Near El Paso Texas,American Airlines,311,New York City - Dallas - Los Angeles,Douglas DC-4,NC90432,10314/DC45,54.0,0.0,0.0
10/24/1947,12:29,Bryce Canyon Utah,United Air Lines,608,Los Angeles - New York City,Douglas DC-6,NC37510,42875/17,53.0,53.0,0.0
10/26/1947,13:45,Annette Island Alaska,Pan American World Airways,923,Seattle - Juneau,Douglas DC-4A,NC88920,10317,18.0,18.0,0.0
10/26/1947,17:20,Near Mt Hymettus Greece,AB Aerotransport,1629,Istanbul-Athens-Rome-Geneve-Copenhagen-Stockholm,Douglas DC-4-1009,SE-BBG,42930/45,44.0,44.0,0.0
11/30/1947,14:25,Seattle Washington,Alaska Airlines,009,Anchorage - Seattle,Douglas C-54A,NC-91009,7453,28.0,8.0,1.0
01/13/1948,04:36,Oxon Hill Maryland,Eastern Air Lines,572,Atlanta - Washington D.C.,Douglas DC-3-201F,NC28384,4092,9.0,5.0,0.0
03/10/1948,22:58,Chicago Illinois,Delta Air Lines,700,Chicago - Miami,Douglas DC-4,NC37478,18390,13.0,12.0,0.0
03/12/1948,21:14,Mt Sanford Alaska,Northwest Orient Airlines,4422,Anchorage - New York City,Douglas DC-4 (C-54G-1-DO),NC95422,35966/DO360,30.0,30.0,0.0
04/15/1948,02:35,Shannon Ireland,Pan American World Airways,1-10,Belgium - Shannon,Lockheed L-049-46 Constellation,NC-88858,2058,31.0,30.0,0.0
06/17/1948,12:41,Mount Carmel Pennsylvania,United Air Lines,624,Chicago - New York City,Douglas DC-6,NC37506,42871/12,43.0,43.0,0.0
08/29/1948,17:05,Near Winona Minnesota,Northwest Orient Airlines,421,Chicago - Minneapolis,Martin 202,NC93044,9165,37.0,37.0,0.0
10/27/1948,16:50,Near Edmonton Alberta Canada,Northwest Orient Airlines,6427,"Edmonton - Anchorage, AK",Douglas C-54A,NC88785,10406,5.0,2.0,0.0
01/20/1949,20:05,Homer Alaska,Alaska Airlines,8,Homer - Anchorage,Douglas DC-3C,N91006,20208,6.0,5.0,0.0
07/12/1949,07:43,Chatsworth California,Standard Airlines,897R,Albuquerque - Burbank,Curtiss C-46E-1-CS,N79978,2936,48.0,35.0,0.0
07/30/1949,10:45,Chesterfield New Jersey,Eastern Air Lines / Military - USN,557,New York City - Wilmington,Douglas DC-3 -201D/ F-6-F- 5 Hellcat,N19963/BU72887,2260 /,16.0,16.0,0.0
11/01/1949,11:45,Arlington Virginia,Eastern Air Lines / Military - Bolivian Air Force,537,Boston - Washington D.C. - New Orleans,Douglas C-54B / P-38,N88727/NX26927,18365 /,55.0,55.0,0.0
11/29/1949,05:49,Dallas Texas,American Airlines,157,New York City - Mexico City,Douglas DC-6,N90728,42895/58,46.0,28.0,0.0
12/12/1949,20:45,Washington DC,Capital Airlines,500,New Port News - Washington D.C.,Douglas DC-3-313A,NC-25691,2556,23.0,6.0,0.0
03/07/1950,20:59,Minneapolis Minnesota,Northwest Orient Airlines,307,Rochester Minn. - Minneapolis,Martin 202,N93050,9134,13.0,13.0,2.0
06/23/1950,23:25,Lake Michigan 18 NNW of Benton Harbor Michigan,Northwest Orient Airlines,2501,New York City - Minneapolis-St. Paul,Douglas DC-4,N95425,10270,58.0,58.0,0.0
08/31/1950,00:03,Near Wadi Natrun Egypt,Trans World Airlines,903,Cairo - Rome,Lockheed 749A Constellation,N6004C,2636,55.0,55.0,0.0
09/04/1950,14:10,Utica New York,Robinson Airlines,32,"Utica, NY - Newark, NJ",Douglas DC-3,N18936,2011,23.0,16.0,0.0
11/03/1950,09:43,Mont Blanc France,Air India,245,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,VT-CQP,2506,48.0,48.0,0.0
11/06/1950,08:15,Butte Montana,Northwest Orient Airlines,115,Helena - Butte,Martin 202,N93040,9161,21.0,21.0,0.0
12/22/1950,13:53,Penticton British Columbia Canada,Canadian PacifiAir Lines,4,Vancouver - Penticton,Douglas DC-3,CF-CUF,12855,18.0,2.0,0.0
01/14/1951,14:13,Philadelphia Pennsylvania,National Airlines,83,Newark - Philadelphia,Douglas DC-4-1009,N74685,43102,28.0,7.0,0.0
01/16/1951,12:14,Near Reardon Washington,Northwest Orient Airlines,115,Minneapolis - Seattle,Martin 202,N93054,9144,10.0,10.0,0.0
03/02/1951,09:12,Sioux City Iowa,Mid Continent Airlines,16,"Kansas City, MO - Omaha, NB - Sioux City, Iowa",Douglas DC-3,N19928,7400,25.0,16.0,0.0
04/06/1951,20:30,Refugio Pass near Santa Barbara California,Southwest Airways,7,Santa Maria - Santa Barbara - Oxnard - Los Angeles,Douglas DC-3,N63439,20229,22.0,22.0,0.0
04/25/1951,11:49,Key West Florida,Cubana de Aviacion / Military -  US Navy,493,Miami - Havana,Douglas DC-4 /Beechcraft SMB-1,CU-T188/39939,10368,43.0,43.0,0.0
04/28/1951,19:32,Fort Wayne Indiana,United Air Lines,129,Cleveland - Fort Wayne - South Bend - Chicago,Douglas DC-3,N16088,1927,11.0,11.0,0.0
06/22/1951,03:25,Near Sanoyea Liberia,Pan American World Airways,151,Johannesburg - Accra - Monrovia - New York,Lockheed 049 Constellation,N88846,2046,40.0,40.0,0.0
06/30/1951,02:00,Rocky Mountain Nat Park near Ft Collins Colorado,United Air Lines,610,Salt Lake City - Denver,Douglas DC-6B,N37543,43144/155,50.0,50.0,0.0
08/24/1951,04:28,Decoto California,United Air Lines,615,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,N37550,43260/180,50.0,50.0,0.0
11/05/1951,09:29,Near Tucumcari Arazona,Transocean Air Lines,CAM5763,Oakland - Albuquerque,Martin 202,N93039,9160,29.0,1.0,0.0
12/29/1951,22:25,Near Little Valley New York,Continental Charters,44-2,Pittsburgh - Buffalo,Curtiss C-46A-50-CU,N3944C,30466,40.0,26.0,0.0
12/30/1951,22:07,Near Fairbanks Alaska,Transocean Air Lines,501,Umiat - Fairbanks,Curtiss C 46F-CU,N68963,22485,4.0,4.0,0.0
01/19/1952,01:38,Off Sandspit BC Canada,Northwest Orient Airlines,324,Tokyo - Elmendorf AFB,Douglas DC-4,N45342,27279,43.0,36.0,0.0
01/22/1952,15:43,Elizabeth New Jersey,American Airlines,6780,Buffalo - Newark,Convair CV-240-0,N94229,054,23.0,23.0,7.0
01/07/1953,20:55,Issaquah Washington,Flying Tiger Line,841,San Francisco - Seattle,Douglas C-54B-10-DO,N86574,18350,7.0,7.0,0.0
04/11/1952,12:20,North of San Juan Puerto Rico,Pan American World Airways,526A,San Juan - New York City,Douglas DC-4,N88899,10503,69.0,52.0,0.0
04/18/1952,03:34,Near Whittier California,North Continental Airlines (Robin Airlines),416W,"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,N8404C,22466,29.0,29.0,0.0
04/29/1952,04:40,Near Carolina Brazil,Pan American World Airways,202,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50.0,50.0,0.0
05/26/1952,08:45,Near Atar Mauritania,British Overseas Airways,251,Tripoli - Kano,Handley Page HP-81 Hermes IV,G-ALDN,HP-81/15,18.0,1.0,0.0
07/27/1952,11:46,Off Rio de Janeiro Brazil,Pan American World Airways,201,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,N1030V,15939,27.0,1.0,0.0
01/07/1953,04:12,Fish Haven Idaho,Associated Air Transport,1-6-6A,Boeing Field - Cheyenne,Curtiss C-46,N1648M,22395,40.0,40.0,0.0
02/14/1953,17:10,Off Mobile Alabama,National Airlines,470,Miami - Orlando - New Orleans,Douglas DC-6,N90893,43057/73,46.0,46.0,0.0
03/20/1953,18:38,Alvarado California,Transocean Air Lines,942,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),N88942,36076,35.0,35.0,0.0
04/20/1953,23:08,San Francisco Bay California,Western Airlines,636,Los Angeles - San Francisco - Oakland,Douglas DC-6B,N91303,43823,10.0,8.0,0.0
05/02/1953,16:35,Near Jalalogori West Bengal India,British Overseas Airways,783/057,Calcutta - Delhi,de Havilland DH106 Comet 1,G-ALYV,06008,43.0,43.0,0.0
05/17/1953,14:15,Near Marshall Texas,Delta Air Lines,318,Dallas - Shreveport,Douglas DC-3,N28345,2224,20.0,19.0,0.0
07/12/1953,08:41,PacifiOcean 325 miles east of Wake Island,Transocean Air Lines,512,Wake Island - Honolulu - Oakland,Douglas DC-6A,N90806,42901/153,58.0,58.0,0.0
09/16/1953,08:34,Albany New York,American Airlines,723,Boston - Hartford - Albany - Chicago,Convair CV-240-0,N94255,116,28.0,28.0,0.0
10/19/1953,00:56,New York City New York,Eastern Air Lines,627,New York City - San Juan,Lockheed 749A Constellation,N119A,2616,27.0,2.0,0.0
10/29/1953,08:44,Near Half Moon Bay California,British Commonwealth PacifiAirlines,304/44,Sydney - Honolulu - San Francisco,Douglas DC-6,VH-BPE,43125,19.0,19.0,0.0
01/10/1954,09:50,Off Elba Italy,British Overseas Airways,781,Rome - London,de Havilland DH106 Comet 1,G-ALYP,06003,35.0,35.0,0.0
02/26/1954,10:32,Wright Wyoming,Western Airlines,314,Salt Lake City - Cedar City - Rapid City,Convair CV-240,N8407H,37,9.0,9.0,0.0
04/08/1954,19:10,Off Stromboli Italy,British Overseas Airways,201,Rome - Cairo,de Havilland DH106 Comet 1,G-ALYY,06011,21.0,21.0,0.0
08/22/1954,17:03,Near Mason City Iowa,Braniff Airlines,152,Memphis - Minneapolis,Douglas DC-3,N61451,4630,19.0,12.0,0.0
09/05/1954,02:30,Foynes Ireland,KLM Royal Dutch Airlines,633,Shannon - New York City,Lockheed 1049C-55-81 S Constellation,PH-LKY,4509,56.0,28.0,0.0
11/30/1954,11:15,Berlin New Hampshire,Northeast Airlines,792,"Laconia, NH - Berlin, NH",Douglas DC-3,N17891,11745,7.0,2.0,0.0
12/18/1954,14:00,New York New York,Linee Aeree Italiane,451,Rome - New York City,Douglas DC-6B,I-LINE,44418/487,32.0,26.0,0.0
12/22/1954,23:00,Pittsburgh Pennsylvania,Johnson Flying Service,4844-C,Newark - Tacoma,Douglas DC-3,N24320,20197,28.0,10.0,0.0
01/19/1955,16:25,Des Moines Iowa,United Air Lines,329,Newark - Des Moines - Lincoln,Convair CV-340,N73154,180,39.0,0.0,0.0
02/19/1955,07:31,Albuquerque New Mexico,Trans World Airlines,260,Albuquerque - Sante Fe,Martin 404,N40416,14120,16.0,16.0,0.0
02/23/1955,09:20,Salisbury  Zimbabwe,Central African Airways,626,Salisbury - Lusaka,Douglas DC-3,VP-YKO,15109/26554,26.0,1.0,0.0
03/20/1955,22:36,Springfield Mississippi,American Airlines,711,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,N94234,066,35.0,13.0,0.0
03/26/1955,11:12,Off the Oregon coast,Pan American World Airways,845/26,Portland - Honolulu,Boeing 377 Stratocruiser 10-26,N1032V,15932,23.0,4.0,0.0
07/17/1955,06:24,Chicago Illinois,Braniff Airlines,560,"Kansas City, MO - Chicago",Convair CV-340-32,N3422,071,43.0,22.0,0.0
07/27/1955,07:40,Near Petrich Bulgaria,El Al,402/46,Wien - Tel Aviv,Lockheed 049 Constellation,4X-AKC,1968,58.0,58.0,0.0
10/06/1955,07:26,Near Centennial Wyoming,United Air Lines,409,Denver - Salt Lake City - San Francisco,Douglas DC-4,N30062,18389,66.0,66.0,0.0
11/01/1955,19:03,Longmont Colorado,United Air Lines,629,Denver - Portland,Douglas DC-6B,N37559,43538,44.0,44.0,0.0
11/17/1955,23:59,Seattle Washingon,Peninsular,17K,Seattle - Newark,Douglas C-54,N88852,3123,74.0,28.0,0.0
12/21/1955,03:43,Jacksonville Florida,Eastern Air Lines,642,Miami - Jacksonville,Lockheed 749C-79-12 Constellation,N112A,2533,17.0,17.0,0.0
04/01/1956,19:20,Pittsburgh Pennsylvania,Trans World Airlines,400,Pittsburgh - Newark,Martin 404,N40403,14103,36.0,22.0,0.0
04/02/1956,08:10,Seattle Washington,Northwest Orient Airlines,2,Seattle - Portland,Boeing 377 Stratocruiser 10-30,N74608,15954,38.0,5.0,0.0
04/09/1956,09:51,Skilak Lake Alaska,Cordova Airlines,6,Anchorage - Seward,Aero Commander  520,B5386N,520-7,6.0,6.0,0.0
06/30/1956,10:32,Grand Canyon Arizona,United Air Lines / Trans World Airlines,718 / 2,Los Angeles - Chicago / Los Angeles - Kansas City,Douglas DC-7 / Lockheed S Constellation,N6902C/N6324C,44288 / 4016,128.0,128.0,0.0
07/09/1956,13:53,Near Flat Rock Michigan,Trans Canada Air Lines,304,Chicago - Montreal,Vickers Viscount,CF-TGR,55,35.0,1.0,0.0
08/29/1956,20:45,Cold Bay Alaska,Canadian PacifiAir Lines,307,Vancouver - Hong Kong,Douglas DC-6B,CF-CUP,43843/324,22.0,15.0,0.0
10/02/1956,18:25,Near Nome Alaska,Alaska Airlines,701,Unalakleet and Nome,Stinson AT-19,N 79069,FK-975,5.0,5.0,0.0
10/16/1956,06:15,Over the PacifiOcean,Pan American World Airways,943,Honolulu - San Francisco,Boeing  377 Stratocruiser,N90943,15959,31.0,0.0,0.0
11/27/1956,07:50,Caracas Venezuela,Linea Aeropostal Venezolana,253,New York City - Maiquetia,Lockheed 749-79-34 Constellation,YV-C-AMA,2560,25.0,25.0,0.0
12/09/1956,19:15,Near Chilliwack British Columbia Canada,Trans Canada Air Lines,810-9,Vancouver - Toronto,Canadair DC-4M-2 Northstar,CF-TFD,128,62.0,62.0,0.0
01/06/1957,00:01,Owasso Oklahoma,American Airlines,327,Joplin - Owasso,Convair CV-240-0,N94247,104,10.0,1.0,0.0
02/01/1957,18:02,New York New York,Northeast Airlines,823,New York City - Miami,Douglas DC-6A,N34954,44678/543,101.0,21.0,0.0
03/02/1957,17:19,Blyn Washington,Alaska Airlines,100,Fairbanks - Seattle,Douglas C-54B,N90449,27239,5.0,5.0,0.0
04/10/1957,15:20,Anchieta Island Brazil,REAL,1800,Rio de Janerio - Sao Paulo,Douglas DC-3,PP-ANX,13048,30.0,26.0,0.0
05/09/1957,19:04,Barajas Madrid Spain,Aviaco,111,Santiago de Compostella - Madrid,Bristol 170 Freighter,EC-ADI,12757,37.0,37.0,0.0
06/14/1957,23:10,Near Moscow Russia,LOT Polish Airlines,232,Warsaw - Moscow,Ilyushin P-14,SP-LNF,6341407,13.0,9.0,0.0
07/16/1957,03:36,Near Biak Indonesia,KLM Royal Dutch Airlines,844,Mokmer - Manila,Lockheed 1049C Super Constellation,PH-LKT,4504,68.0,58.0,0.0
07/25/1957,03:37,Daggett California,Western Airlines,39,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,Convair CV-240,N8405H,22,16.0,1.0,0.0
09/15/1957,20:46,New Bedford Massachusett,Northeast Airlines,285,Martha's Vineyard - New Bedford,Douglas DC-3,N33417,7337,24.0,12.0,0.0
11/09/1957,16:27,900 miles E of Honolulu Hawaii PacifiOcean,Pan American World Airways,7,San Fransisco - Honolulu,Boeing - 377-10-29 Stratocruiser,N90944,15960/40,44.0,44.0,0.0
02/06/1958,14:17,Munich Germany,British European Airways,609,Munich - Manchester,Airspeed Ambassador A5-57,G-ALZU,5217,44.0,23.0,0.0
04/06/1958,23:19,Freeland Michigan,Capital Airlines,67,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,N7437,135,47.0,47.0,0.0
04/07/1958,09:00,Mt Illiniza Ecuador,AREA,222,Guayaquil - Quito,Douglas DC-3,HC-ACL,19779,32.0,32.0,0.0
04/21/1958,08:30,Near Sloan 10 miles SW of Las Vegas Nevada,United Air Lines / Military - U.S. Air Force,736,Los Angeles - New York City,Douglas DC-7 / F-100F,N6328C/56-3755,45142 /243-31,49.0,49.0,0.0
05/20/1958,11:29,Brunswick Maryland,Capital Airlines / Military - Air National Guard,300,Pittsburgh - Baltimore,Vickers Viscount 745D / T-33A,N7410/53-5966,108,11.0,11.0,0.0
08/14/1958,03:45,North AtlantiOcean 100 miles W of Galway Bay Ireland,KLM Royal Dutch Airlines,607E,Amsterdam - Shannon - Gander - New York,Lockheed 1049H Super Constellation,PH-LKM,4841,99.0,99.0,0.0
10/22/1958,11:50,Anzio Italy,British European Airways,142,London - Napoli,Vickers Viscount 701C,G-ANHC,063,31.0,31.0,0.0
11/01/1958,02:01,Nipe Bay Cuba,Cubana de Aviacion,495,Miami - Varadero,Vickers Viscount 755D,CU-T603,091,20.0,17.0,0.0
12/26/1958,12:52,Salisbury Zimbabwe,Union Aeromaritime de Transport,736,Johannesberg - Salisbury - Brazzaville - Nice - Paris,Douglas DC-6B,F-BGTZ,43827/337,70.0,3.0,0.0
01/08/1959,20:32,Mt Holston Tennessee,Southeast Airlines,308,Nashville - Knoxville - Tri-City Aport,Douglas DC-3,N18941,2007,10.0,10.0,0.0
01/22/1959,15:00,Dabouk Jordan,Air Jordan,601,Jerusalem - Dobouk,Convair CV-240-2,JY-ACB,055,15.0,10.0,0.0
02/03/1959,01:00,Mason City Iowa,Dwyer Flying Service - Private Charter,-,Mason City - Fargo,Beechcraft Bonanza 35,N3794N,D- 1019,4.0,4.0,0.0
02/03/1959,23:56,La Guardia Airport New York NY,American Airlines,320,Chicago - New York City,Lockheed  188A Electra,N6101A,1015,73.0,65.0,0.0
05/12/1959,15:29,Charleston West Virginia,Capital Airlines,983,Pittsburg - Charleston,Lockheed C-69 Constellation,N2735A,1978,44.0,2.0,0.0
05/12/1959,16:13,Chase Maryland,Capital Airlines,75,New York City - Atlanta,Vickers Viscount 745D,N7463,287,31.0,31.0,0.0
06/26/1959,17:35,Near Varese Lombardia 20 miles NW of Milan Italy,Trans World Airlines,891,Milan - Paris,Lockheed 1649A Starliner,N7313C,1015,68.0,68.0,0.0
08/15/1959,16:42,Calverton New York,American Airlines,514,Training,Boeing 707-123,N7514A,17641/36,5.0,5.0,0.0
09/24/1959,17:20,Great Sitkin Island Alaska,Reeve Aleutian Airlines,3,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,N63396,10486,16.0,16.0,0.0
09/29/1959,23:09,Buffalo Texas,Braniff Airlines,542,Houston - Dallas,Lockheed 188A Electra,N9705C,1090,34.0,34.0,0.0
10/26/1959,20:18,Santa Maria California,PacifiAir Lines,308,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,N67589,19656,19.0,1.0,1.0
10/29/1959,15:25,Athens Greece,OlympiAirways,214,Athens - Thessaloniki,Douglas DC-3,SX-BAD,9491,18.0,18.0,0.0
10/30/1959,20:40,Waynesborough Virginia,Piedmont Airlines,349,"Washington DC - Charlottsville, VA",Douglas DC-3,N55V,20447,27.0,26.0,0.0
11/04/1959,23:07,St Cleophas Quebec Canada,Wheeler Airlines,1658,Montreal - Hall Lake,Douglas C-54A,CF-ILI,10360,5.0,5.0,0.0
11/16/1959,00:55,Gulf of Mexico,National Airlines,967,Tampa - New Orleans,Douglas DC-7B,N4891C,45355,42.0,42.0,0.0
11/24/1959,05:35,Chicago Illinois,Trans World Airlines,595,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3.0,3.0,8.0
12/01/1959,09:47,Willamsport Pennsylvania,Allegheny Airlines,371,Harrisburg - Willamsport,Martin 202,N174A,9159,26.0,25.0,0.0
01/06/1960,02:38,WilmingtonBolivia North Carolina,National Airlines,2511,New York - Miami,Douglas DC-6B,N8225H,43742/300,34.0,34.0,0.0
01/18/1960,22:19,Charles City Virginia,Capital Airlines,20,Washington D.C. - Norfolk,Vickers Viscount 745D,N7462,217,50.0,50.0,0.0
01/19/1960,18:47,Ankara Turkey,Scandinavian Airlines (SAS),871,Istanbul - Ankara,Sud Aviation Caravelle 1,OY-KRB,014/14,42.0,42.0,0.0
03/17/1960,15:25,Near Cannelton 10 mile SE of Tell City Indiana,Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63.0,63.0,0.0
03/19/1960,11:10,Cordoba Colombia,SAMSA,901,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46.0,25.0,0.0
04/19/1960,20:48,Bogota Colombia,Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51.0,37.0,0.0
06/14/1960,04:47,Mt Gilbert Alaska,PacifiNorthern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14.0,14.0,0.0
07/14/1960,04:30,Off Manila Philippines,Northwest Orient Airlines,1-11,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58.0,1.0,0.0
07/15/1960,09:40,Near Jima Ethiopia,Ethiopian Airlines,372,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11.0,1.0,0.0
08/29/1960,06:50,Off Dakar Senegal,Air France,343,Paris - Dakar,Lockheed 1049G Super Constellation,F-BHBC,4622,63.0,63.0,0.0
09/19/1960,06:02,Agana Guam Mariana Islands,World Airways,830/18,Guam - Wake Island,Douglas DC-6AB,N90779,44914/646,94.0,80.0,0.0
09/26/1960,23:40,Moscow Russia,Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37.0,31.0,0.0
09/29/1960,12:15,Off Elba Italy,United Arab Airlines,738,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21.0,21.0,0.0
10/04/1960,17:40,Boston Massachusett,Eastern Air Lines,375,Boston - Philadelphia,Lockheed 188A Electra,N5533,1062,72.0,62.0,0.0
10/28/1960,11:39,Near Missoula Montana,Northwest Orient Airlines,104,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12.0,12.0,0.0
04/03/1961,23:57,Llico Chile,LAN,210,Temuco - Santiago,Douglas DC-3,CC-CLD-P210,9716,24.0,24.0,0.0
05/10/1961,02:30,Stah Algeria,Air France,406,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,F-BHBM,1027,78.0,78.0,0.0
12/16/1960,10:33,Staten Island  Brooklyn New York,United Air Lines / Trans World Airlines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128.0,128.0,6.0
12/22/1960,12:31,Cebu City Philippines,Philippine Air Lines,S85,Cebu - Davao,Douglas DC-3,PI-C126,20593,37.0,28.0,0.0
01/03/1961,07:40,Koivulahti Finland,Finnair,311,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25.0,25.0,0.0
01/19/1961,20:25,New York New York Idlewild,Aeronaves de Mexico,401,New York - Mexico City,McDonnell Douglas DC-8-21,XA-XAX,45432/105,106.0,4.0,0.0
01/24/1961,02:48,Mt Burangrang Indonesia,Garuda Indonesia Airlines,424,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21.0,21.0,0.0
02/03/1961,23:55,Off Surabaya Indonesia,Garuda Indonesia Airlines,542,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26.0,26.0,0.0
02/15/1961,10:05,Near Brussels Belgium,Sabena,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72.0,72.0,1.0
05/30/1961,01:20,Near Lisbon Portugal,KLM Royal Dutch Airlines,897,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,PH-DCL,45615,61.0,61.0,0.0
06/12/1961,04:11,Cairo Egypt,KLM Royal Dutch Airlines,823,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36.0,20.0,0.0
07/11/1961,11:36,Denver Colorado,United Air Lines,859,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122.0,17.0,1.0
09/01/1961,02:05,Near Hinsdale Illinois,Trans World Airlines,529,Chicago - Las Vegas,Lockheed 049 Constellation,N86511,2035,78.0,78.0,0.0
09/12/1961,22:09,Near Rabat Morrocco,Air France,2005,Paris - Rabat,Sud-Aviation Caravelle III,F-BJTB,068,77.0,77.0,0.0
09/17/1961,08:57,Chicago Illinois,Northwest Orient Airlines,706,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,37.0,37.0,0.0
11/08/1961,21:24,Near Richmond Virginia,Imperial Airways,201/8,Baltimore - Columbia SC,Lockheed C-69 Constellation,N2737A,1976,79.0,77.0,0.0
03/01/1962,10:09,Jamaica Bay New York New York,American Airlines,1,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95.0,95.0,0.0
03/04/1962,18:20,Douala Cameroon,Caledonian Airways,153,Douala - Lisboa,Douglas DC-7C,G-ARUD,45160/754,111.0,111.0,0.0
03/15/1962,01:14,Adak Alaska,Flying Tiger Line,7816,"Cold Bay, AK - Adak, AK",Lockheed 1049H Super Constellation,N6911C,4804,7.0,1.0,0.0
03/15/1962,00:30,Western PacifiOcean Philippine Sea,Flying Tiger Line,739/14,"Travis AFB - Honolulu - Agana, Guam - Clark AFB -Saigon",Lockheed 1049H Super Constellation,N6921C,4817,107.0,107.0,0.0
05/22/1962,21:21,Near Unionville Missouri,Continental Airlines,11,"Chicago - Kansas City, MO",Boeing B-707-124,N70775,17611/49,45.0,45.0,0.0
06/22/1962,04:01,BasseTerre Guadaloupe West Indies,Air France,117,Paris - Pointe-a Pitre - Santaigo,Boeing B-707-328,F-BHST,18247/274,112.0,112.0,0.0
