Date,Time,Location,Route,Type,Aboard
03/01/1978,09:25,LAX Los Angeles California,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,200.0
05/08/1978,21:20,Pensacola Florida,"Miami, FL - Pensacola, FL - Mobile, AL",Boeing B-727-235,58.0
06/26/1978,08:08,Toronto Canada,Toronto - Winnipeg,McDonnell Douglas DC-9-32,107.0
09/03/1978,17:30,Near Kariba Rhodesia Zimbabwe,Kariba - Salisbury,Vickers Viscount 782D,56.0
09/25/1978,09:02,San Diego California,Los Angeles - San Diego,Boeing B-727-214 / Cessna 172,137.0
