Date,Time,Location,Route,Type,Aboard
10/25/1968,17:17,Hanover New Hampshire,"Boston, MA - Montpelier, VT - Lebanon, NH",Fairchild-Hiller FH227C,42.0
11/22/1968,01:24,San Francisco California,Tokyo - San Francisco,McDonnell Douglas DC-8-62,107.0
11/23/1968,19:59,Santa Ana California,Los Angeles - Santa Ana,de Havilland Canada DHC-6 Twin Otter 200,9.0
12/02/1968,09:36,Pedro Bay Alaska,Anchorage - Iliamna,Fairchild F-27B,39.0
12/12/1968,22:02,Near Caracas Venezuela,New York City - Caracas,Boeing B-707-321B,51.0
