Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
08/31/1940,14:41,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25.0,25.0,0.0
11/04/1940,04:42,"Near Centerville, Utah",United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10.0,10.0,0.0
12/04/1940,17:48,"Chicago, Illinois",United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16.0,10.0,0.0
01/23/1941,04:13,"Near Robertson, Missouri",Trans Continental and Western Air,6,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13.0,2.0,0.0
02/26/1941,11:50,"Atlanta, Georgia",Eastern Air Lines,21,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,NC28394,3204,16.0,9.0,0.0
