Date,Time,Location,Route,Type,Aboard
08/11/1979,13:35,Dneprodzerzhinsk Ukraine USSR,Tashkent - Donetsk - Minsk /Chelyabinsk to Kishinev,Tupolev TU-134A / Tupolev Tu-134A,178.0
09/14/1979,20:47,Near Klamath Falls Oregon,Redmond - Klamath Falls - Medford,Douglas DC-7,12.0
10/31/1979,05:42,Mexico City Mexico,"Los Angeles, CA  - Mexico City, Mexico",McDonnell Douglas DC-10-10,88.0
11/26/1979,02:03,Near At Taif Jeddah Saudi Arabia,Jeddah - Karachi,Boeing B-707-340C,156.0
11/28/1979,12:49,Near Mt Erebus Ross Ice Shelf Antarctica,Auckland - Christchurch,McDonnell Douglas DC-10-30,257.0
