Date,Time,Location,Route,Type,Aboard
09/09/1976,14:50,Off Adler Russia,Donetsk - Sochi /Rostov na Donu - Kerch,Antonov AN-24 / Yakovlev Yak-40,90.0
09/10/1976,10:15,Near Gaj Hrvatska Yugoslavia,Split - Koln / London - Istanbul,McDonnell Douglas DC-9-31 / Trident 3B,176.0
10/06/1976,13:24,Off Bridgetown Barbados,Bridgetown - Kingston,McDonnell Douglas DC-8-43,73.0
12/12/1976,23:26,Cape May New Jersey,AtlantiCity - Cap May,de Havilland Canada DHC-6 Twin Otter 300,10.0
12/25/1976,03:45,Near Bangkok Thailand,Cairo - Bangkok,Boeing B-707-366C,53.0
