Date,Time,Location,Route,Type,Aboard
03/10/1979,17:52,Off Marina del Rey California,New York - Santa Monica,Aerospatiale Nord 262A-33,7.0
05/25/1979,15:04,Chicago OHare Illinois,"Chicago, IL- Los Angeles, CA",McDonnell Douglas DC-10-10,271.0
05/30/1979,20:55,Rockland Maine,Boston - Rockland,de Havilland DHC-6-200,18.0
06/17/1979,22:48,Hyannis Massachusetts,"New York, NY - Hyannis, MA",de Havilland Canada DHC-6 Twin Otter 300,10.0
07/24/1979,09:22,St Croix Virgin Islands,St. Croix - St. Kitts,de Havilland DH-114 Heron,21.0
