Date,Time,Location,Route,Type,Aboard
12/04/1978,19:45,Near Steamboat Springs Coloado,Steamboat Springs - Denver,de Havilland Canada DHC-6 Twin Otter 300,22.0
12/23/1978,00:39,Near Cinisi Sicily Italy,Rome - Palermo,McDonnell Douglas DC-9-32,129.0
12/28/1978,18:15,Portland Oregon,Denver - Portland,McDonnell Douglas DC-8-61,189.0
02/12/1979,13:00,Clarksburg West Virginia,Clarksburg - Washington DC,Nord 262,25.0
03/06/1979,18:55,Near Probolinggo Indonesia,Denpasar - Surabaya,Fokker F-28 Fellowship 1000,4.0
