Date,Time,Location,Route,Type,Aboard
06/04/1969,08:42,Near Salinas Victoria Nuevo Leon Mexico,Mexico City - Monterey,Boeing B-727-64,79.0
07/06/1969,20:22,Near Monroe Georgia,"Atlanta, GA - Sumpter, SC - Greer, SC",Beechcraft B-99,14.0
08/31/1969,20:05,Newton Iowa,Chicago - Des Moines.,Cessna 172H,3.0
09/09/1969,14:29,Near Fairland Indiana,Indianapolis - Bakalar AFB,MD Douglas DC-9-31/Piper Cherokee PA-28,83.0
09/17/1969,17:09,Campbell River Canada,Vancouver - Campbell River,Convair CV-640,15.0
