Date,Time,Location,Route,Type,Aboard
09/08/1970,16:06,New York New York,"Jamaica, NY - Washington D.C.",McDonnell Douglas DC-8-63CF,11.0
10/02/1970,12:00,Mt Trelease near Silver Plume Colorado,"Wichita - Denver - Logan, Utah",Martin 404,40.0
11/14/1970,19:36,Near Huntington West Virginia,"Kingston, NC - Huntington, WV",McDonnell Douglas DC-9-31,75.0
11/27/1970,17:05,Anchorage Alaska,Anchorage - Yokota AFB,McDonnell Douglas DC-8-63CF,229.0
12/28/1970,14:42,St Thomas Virgin Islands,New York - St. Thomas,Boeing B-727-2A7,55.0
