Date,Time,Location,Route,Type,Aboard
06/15/1972,14:00,Near Pleiku Vietnam,Bangkok - Hong Kong,Convair CV-880-22M-21,81.0
06/18/1972,16:11,London Heathrow  Staines Surrey England,London - Brussels,Hawker Siddeley Trident 1C,118.0
06/24/1972,23:17,Ponce Puerto Rico,San Juan - Ponce,de Havilland DH-114 Heron 2B,20.0
06/29/1972,09:37,Appleton Wisconsin,"Chicago, IL - Appleton, WI - Sheboygan, WI",Convair CV-580/De Hav. Twin Otter 100,13.0
10/27/1972,19:20,Near Noiretable Loire France,Lyon - Clermont,Vickers Viscount 724,68.0
