Date,Time,Location,Route,Type,Aboard
01/13/1977,18:15,Near Alma Ata  Kazakastan USSR,Novosibirsk - Alma Ata,Tupolev TU-104A,96.0
03/27/1977,17:07,Tenerife Canary Islands,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,644.0
04/04/1977,16:19,New Hope Georgia,Huntsville - Atlanta,McDonnell Douglas DC-9-31,85.0
09/06/1977,14:52,Mt Iliamna Alaska,Iliamna - Anchorage,de Havilland Canada DHC-6 Twin Otter 200,13.0
11/19/1977,21:48,Near Funchal Island of Madeira Portugal,Brussels - Funchal,Boeing B-727-282,164.0
