Date,Time,Location,Route,Type,Aboard
06/30/1951,02:00,Rocky Mountain Nat Park near Ft Collins Colorado,Salt Lake City - Denver,Douglas DC-6B,50.0
08/24/1951,04:28,Decoto California,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,50.0
11/05/1951,09:29,Near Tucumcari Arazona,Oakland - Albuquerque,Martin 202,29.0
12/29/1951,22:25,Near Little Valley New York,Pittsburgh - Buffalo,Curtiss C-46A-50-CU,40.0
12/30/1951,22:07,Near Fairbanks Alaska,Umiat - Fairbanks,Curtiss C 46F-CU,4.0
01/19/1952,01:38,Off Sandspit BC Canada,Tokyo - Elmendorf AFB,Douglas DC-4,43.0
01/22/1952,15:43,Elizabeth New Jersey,Buffalo - Newark,Convair CV-240-0,23.0
01/07/1953,20:55,Issaquah Washington,San Francisco - Seattle,Douglas C-54B-10-DO,7.0
04/11/1952,12:20,North of San Juan Puerto Rico,San Juan - New York City,Douglas DC-4,69.0
04/18/1952,03:34,Near Whittier California,"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,29.0
04/29/1952,04:40,Near Carolina Brazil,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,50.0
05/26/1952,08:45,Near Atar Mauritania,Tripoli - Kano,Handley Page HP-81 Hermes IV,18.0
07/27/1952,11:46,Off Rio de Janeiro Brazil,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,27.0
01/07/1953,04:12,Fish Haven Idaho,Boeing Field - Cheyenne,Curtiss C-46,40.0
02/14/1953,17:10,Off Mobile Alabama,Miami - Orlando - New Orleans,Douglas DC-6,46.0
03/20/1953,18:38,Alvarado California,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),35.0
04/20/1953,23:08,San Francisco Bay California,Los Angeles - San Francisco - Oakland,Douglas DC-6B,10.0
05/02/1953,16:35,Near Jalalogori West Bengal India,Calcutta - Delhi,de Havilland DH106 Comet 1,43.0
05/17/1953,14:15,Near Marshall Texas,Dallas - Shreveport,Douglas DC-3,20.0
07/12/1953,08:41,PacifiOcean 325 miles east of Wake Island,Wake Island - Honolulu - Oakland,Douglas DC-6A,58.0
09/16/1953,08:34,Albany New York,Boston - Hartford - Albany - Chicago,Convair CV-240-0,28.0
10/19/1953,00:56,New York City New York,New York City - San Juan,Lockheed 749A Constellation,27.0
10/29/1953,08:44,Near Half Moon Bay California,Sydney - Honolulu - San Francisco,Douglas DC-6,19.0
01/10/1954,09:50,Off Elba Italy,Rome - London,de Havilland DH106 Comet 1,35.0
